id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Jefferson;orbrix;2776.0;-4268.0;-13268.0;-1856.0;434.0;208.0;0
1;Jefferson;orbrix;3368.0;-4152.0;-14344.0;-1840.0;236.0;1414.0;104
2;Jefferson;orbrix;8396.0;-4736.0;-21120.0;-1872.0;4171.0;3914.0;207
3;Jefferson;orbrix;11712.0;-2920.0;-14272.0;-1856.0;8045.0;4484.0;311
4;Jefferson;orbrix;7132.0;-3124.0;-6428.0;-1872.0;5401.0;3165.0;413
5;Jefferson;orbrix;3960.0;-3124.0;288.0;-1872.0;-4038.0;1768.0;517
6;Jefferson;orbrix;-4352.0;-1592.0;-3076.0;-1856.0;-18433.0;-5436.0;620
7;Jefferson;orbrix;-8992.0;-824.0;-17704.0;-1840.0;-19116.0;-2824.0;723
8;Jefferson;orbrix;-9504.0;-348.0;-21908.0;-1872.0;-8777.0;123.0;826
9;Jefferson;orbrix;-3972.0;2780.0;-18200.0;-1856.0;-7268.0;1200.0;929
10;Jefferson;orbrix;4020.0;4300.0;-23664.0;-1856.0;3124.0;2653.0;1033
11;Jefferson;orbrix;7664.0;5472.0;-18188.0;-1840.0;8464.0;1753.0;1136
12;Jefferson;orbrix;7388.0;3696.0;-14748.0;-1856.0;10841.0;3024.0;1239
13;Jefferson;orbrix;4708.0;656.0;-8260.0;-1856.0;7584.0;1546.0;1342
14;Jefferson;orbrix;2440.0;-2348.0;-9736.0;-1872.0;3929.0;372.0;1445
15;Jefferson;orbrix;2916.0;-4908.0;-8952.0;-1856.0;870.0;969.0;1549
16;Jefferson;orbrix;1124.0;-4272.0;-13472.0;-1856.0;-1065.0;906.0;1652
