id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Jefferson;Quadrix;-2100.0;920.0;-13836.0;-1776.0;9.0;364.0;0
1;Jefferson;Quadrix;-2008.0;912.0;-15972.0;-1792.0;-282.0;1032.0;103
2;Jefferson;Quadrix;-3188.0;1248.0;-21164.0;-1808.0;3903.0;2247.0;206
3;Jefferson;Quadrix;-4364.0;416.0;-21796.0;-1808.0;11209.0;3470.0;310
4;Jefferson;Quadrix;-328.0;-928.0;-10508.0;-1792.0;12391.0;3556.0;412
5;Jefferson;Quadrix;3084.0;-3524.0;3000.0;-1792.0;4967.0;1662.0;515
6;Jefferson;Quadrix;8064.0;-3616.0;-10372.0;-1776.0;-1472.0;1992.0;619
7;Jefferson;Quadrix;6476.0;-4308.0;-20832.0;-1808.0;2111.0;-233.0;722
8;Jefferson;Quadrix;-3244.0;-4704.0;-10276.0;-1792.0;2737.0;-536.0;826
9;Jefferson;Quadrix;-6196.0;-7124.0;-9360.0;-1792.0;1954.0;-1326.0;928
10;Jefferson;Quadrix;-7112.0;-3100.0;-272.0;-1808.0;-1477.0;-386.0;1031
11;Jefferson;Quadrix;540.0;-3112.0;-3160.0;-1776.0;-8472.0;-786.0;1135
12;Jefferson;Quadrix;876.0;-1024.0;-14128.0;-1760.0;-12770.0;-1682.0;1238
13;Jefferson;Quadrix;-6456.0;-500.0;-18044.0;-1808.0;-8259.0;-1795.0;1341
14;Jefferson;Quadrix;-16388.0;1112.0;-18812.0;-1808.0;-1070.0;520.0;1444
15;Jefferson;Quadrix;-8756.0;2028.0;-13380.0;-1760.0;-293.0;3162.0;1548
16;Jefferson;Quadrix;1368.0;2632.0;-12148.0;-1760.0;-1877.0;2818.0;1651
17;Jefferson;Quadrix;6616.0;3016.0;-10716.0;-1792.0;-453.0;1827.0;1754
18;Jefferson;Quadrix;4052.0;1616.0;-15152.0;-1808.0;-794.0;629.0;1857
19;Jefferson;Quadrix;-1636.0;912.0;-14880.0;-1792.0;648.0;397.0;1960
20;Jefferson;Quadrix;-2464.0;924.0;-13124.0;-1808.0;755.0;175.0;2064
