id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Ivleen;threnix;2196.0;-728.0;-408.0;-2976.0;-5646.0;-13.0;0
1;Ivleen;threnix;9496.0;-2920.0;-8052.0;-2992.0;-12016.0;1821.0;103
2;Ivleen;threnix;-4640.0;-2612.0;-8024.0;-3008.0;-14242.0;8906.0;207
3;Ivleen;threnix;-13944.0;-1500.0;-16684.0;-2992.0;-6399.0;4733.0;310
4;Ivleen;threnix;-2120.0;52.0;-18456.0;-2992.0;-69.0;2397.0;414
5;Ivleen;threnix;-8532.0;2176.0;-14244.0;-2992.0;2083.0;2483.0;516
6;Ivleen;threnix;-4904.0;3072.0;-15280.0;-2992.0;906.0;854.0;619
7;Ivleen;threnix;14408.0;-1172.0;-10792.0;-3008.0;48.0;-1442.0;723
8;Ivleen;threnix;8232.0;-2424.0;-15548.0;-2992.0;-1028.0;348.0;826
9;Ivleen;threnix;772.0;-2544.0;-13400.0;-3008.0;-316.0;1143.0;929
10;Ivleen;threnix;1464.0;-1556.0;-14356.0;-2960.0;19.0;2099.0;1032
11;Ivleen;threnix;1800.0;-1840.0;-13708.0;-2976.0;401.0;799.0;1135
12;Ivleen;threnix;916.0;-1756.0;-12876.0;-2992.0;191.0;86.0;1239
13;Ivleen;threnix;1784.0;-1792.0;-14512.0;-3024.0;1217.0;959.0;1341
14;Ivleen;threnix;2220.0;-2176.0;-16816.0;-3008.0;667.0;367.0;1445
15;Ivleen;threnix;2940.0;-1872.0;-13940.0;-2992.0;639.0;-559.0;1548
16;Ivleen;threnix;1360.0;-1808.0;-11580.0;-2976.0;-1164.0;-49.0;1652
17;Ivleen;threnix;2636.0;-1628.0;-10060.0;-2992.0;-684.0;61.0;1754
18;Ivleen;threnix;3148.0;-1820.0;-12176.0;-2992.0;697.0;85.0;1857
