id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;;;1000.0;456.0;-13336.0;-2448.0;79.0;114.0;0
1;;;972.0;672.0;-13376.0;-2432.0;152.0;-30.0;104
2;;;624.0;448.0;-13508.0;-2480.0;174.0;246.0;207
3;;;584.0;576.0;-14292.0;-2448.0;147.0;749.0;309
4;;;1436.0;564.0;-13584.0;-2432.0;48.0;300.0;413
5;;;948.0;684.0;-13612.0;-2448.0;100.0;181.0;515
6;;;1696.0;368.0;-13000.0;-2416.0;165.0;-484.0;619
7;;;884.0;720.0;-13560.0;-2416.0;128.0;-113.0;722
8;;;1084.0;276.0;-13488.0;-2432.0;101.0;-4.0;824
9;;;1084.0;572.0;-13496.0;-2448.0;53.0;70.0;928
10;;;1136.0;692.0;-13580.0;-2448.0;56.0;68.0;1031
11;;;1044.0;480.0;-13412.0;-2432.0;99.0;106.0;1134
12;;;912.0;520.0;-13464.0;-2448.0;81.0;62.0;1237
13;;;1036.0;632.0;-13528.0;-2432.0;123.0;31.0;1340
14;;;884.0;512.0;-13388.0;-2416.0;153.0;4.0;1443
15;;;1076.0;472.0;-13444.0;-2432.0;143.0;-2.0;1546
16;;;980.0;520.0;-13480.0;-2432.0;121.0;-1.0;1649
17;;;1040.0;484.0;-13540.0;-2448.0;43.0;91.0;1752
18;;;1036.0;616.0;-13540.0;-2432.0;96.0;53.0;1856
19;;;1044.0;516.0;-13572.0;-2448.0;141.0;-12.0;1958
20;;;932.0;660.0;-13572.0;-2432.0;77.0;90.0;2061
21;;;944.0;376.0;-13612.0;-2448.0;64.0;107.0;2164
22;;;992.0;492.0;-13660.0;-2432.0;106.0;39.0;2267
23;;;1096.0;548.0;-13540.0;-2432.0;162.0;-19.0;2371
24;;;800.0;392.0;-13560.0;-2448.0;110.0;18.0;2473
25;;;1068.0;488.0;-13668.0;-2432.0;94.0;56.0;2577
26;;;1224.0;636.0;-13460.0;-2416.0;67.0;113.0;2679
27;;;988.0;560.0;-13568.0;-2416.0;47.0;109.0;2782
28;;;1032.0;492.0;-13604.0;-2464.0;141.0;16.0;2886
29;;;1236.0;520.0;-13504.0;-2416.0;141.0;-10.0;2988
30;;;1000.0;500.0;-13436.0;-2416.0;146.0;2.0;3092
31;;;1032.0;436.0;-13484.0;-2432.0;72.0;116.0;3195
32;;;1184.0;500.0;-13384.0;-2432.0;88.0;63.0;3297
33;;;992.0;600.0;-13504.0;-2448.0;131.0;-25.0;3401
34;;;2664.0;-1440.0;-10128.0;-2464.0;-487.0;46.0;3503
35;;;1584.0;2804.0;-13520.0;-2400.0;-507.0;-12246.0;3607
36;;;-12632.0;960.0;-16608.0;-2464.0;1807.0;-4912.0;3710
37;;;4876.0;2016.0;-10704.0;-2432.0;6483.0;-3605.0;3814
38;;;2632.0;-492.0;-12796.0;-2432.0;528.0;-4816.0;3916
39;;;-4816.0;-112.0;-12400.0;-2432.0;4069.0;-3955.0;4019
40;;;2252.0;-4.0;-9128.0;-2432.0;8263.0;8753.0;4123
41;;;-20836.0;-2296.0;-16012.0;-2432.0;3606.0;-19854.0;4225
42;;;-912.0;-5176.0;-6532.0;-2464.0;2960.0;-2176.0;4329
43;;;-3816.0;-3784.0;-11856.0;-2400.0;-4809.0;-3480.0;4432
44;;;1636.0;-3552.0;-13436.0;-2416.0;-5474.0;-6372.0;4535
45;;;3768.0;-3068.0;-15924.0;-2480.0;1214.0;-1674.0;4638
46;;;-12748.0;-3292.0;-15620.0;-2448.0;7300.0;6333.0;4741
47;;;-10428.0;-7684.0;-5508.0;-2448.0;-5902.0;-5487.0;4845
48;;;1532.0;1192.0;-12064.0;-2432.0;-9978.0;3871.0;4948
49;;;504.0;-2444.0;-1520.0;-2464.0;526.0;15196.0;5051
50;;;3968.0;3104.0;-12336.0;-2448.0;-4283.0;2536.0;5154
51;;;-372.0;848.0;-21940.0;-2416.0;5390.0;1646.0;5257
52;;;5420.0;-3752.0;-8556.0;-2416.0;794.0;1659.0;5360
53;;;-3644.0;-3936.0;-11152.0;-2448.0;1889.0;-8938.0;5463
54;;;5244.0;740.0;-14100.0;-2448.0;-772.0;-604.0;5567
55;;;2604.0;-2000.0;-11872.0;-2464.0;-3829.0;-1103.0;5670
56;;;904.0;-11996.0;-17104.0;-2432.0;6362.0;-12545.0;5772
57;;;8300.0;-3980.0;-13084.0;-2416.0;634.0;16537.0;5876
58;;;-688.0;-6028.0;-11600.0;-2480.0;-1418.0;9788.0;5979
59;;;8700.0;-4616.0;-32768.0;-2416.0;10531.0;4378.0;6083
60;;;18948.0;-820.0;-9876.0;-2448.0;18657.0;1596.0;6185
61;;;10592.0;2640.0;-2932.0;-2480.0;13307.0;-1306.0;6289
62;;;1148.0;524.0;1444.0;-2432.0;-9807.0;3159.0;6392
63;;;-7264.0;-2396.0;-7584.0;-2416.0;-18906.0;-478.0;6494
64;;;-14368.0;-3136.0;-14520.0;-2400.0;-20786.0;384.0;6598
65;;;-14036.0;-68.0;-30256.0;-2464.0;-15664.0;-6165.0;6701
66;;;-10088.0;244.0;-26408.0;-2448.0;-8607.0;-4517.0;6805
67;;;6436.0;4208.0;-29316.0;-2448.0;5839.0;2497.0;6907
68;;;5212.0;2764.0;-13764.0;-2448.0;15626.0;734.0;7010
69;;;2312.0;-464.0;-4044.0;-2448.0;7481.0;-1135.0;7114
70;;;412.0;-2936.0;-5728.0;-2448.0;-526.0;-1324.0;7217
71;;;-1920.0;-4028.0;-13280.0;-2432.0;-3230.0;-300.0;7320
72;;;-1512.0;-4268.0;-13852.0;-2416.0;1543.0;-262.0;7423
73;;;-2720.0;-3772.0;-15852.0;-2416.0;535.0;2778.0;7527
